Desc_Carrera,Desc_Materia,Calif_Final,sexo,edad,Grado  
PREPARATORIA,ADMINISTRACION_II,9.00,M,17.00,6
PREPARATORIA,SOCIOLOGIA,8.00,M,17.00,6
PREPARATORIA,TECNOLOGIA_I,7.00,M,17.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,9.00,F,18.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,9.00,F,18.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,9.00,M,17.00,6
PREPARATORIA,TEM.SELEC.DE_CIENCS_D.LA_S.II,10.00,M,17.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,9.00,F,18.00,6
PREPARATORIA,CALCULO_INTEGRAL,7.00,F,18.00,6
PREPARATORIA,TECNOLOGIA_II,8.00,F,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_I,7.00,F,18.00,6
PREPARATORIA,TEM.SELEC.DE_CIENC.D.LA_SAL.I,9.00,F,18.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,10.00,F,18.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,9.00,F,18.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,10.00,F,17.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,10.00,F,17.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,7.00,M,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,10.00,M,18.00,6
PREPARATORIA,CALCULO_INTEGRAL,7.00,M,18.00,6
PREPARATORIA,ADMINISTRACION_II,9.00,F,17.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,8.00,F,17.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,9.00,F,17.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,5.00,F,18.00,6
PREPARATORIA,ADMINISTRACION_II,8.00,F,18.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,8.00,F,18.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,9.00,F,18.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,9.00,F,18.00,6
PREPARATORIA,METODOLOGIA_DE_LA_INVESTIGAC.,9.00,M,17.00,4
PREPARATORIA,LITERATURA_II,9.00,M,17.00,4
PREPARATORIA,PSICOLOGIA,9.00,M,17.00,4
PREPARATORIA,LENGUA_ADICIONAL_AL_ESPANOL_IV,8.00,M,17.00,4
PREPARATORIA,CALCULO_DIFERENCIAL,8.00,M,17.00,4
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,9.00,F,17.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,7.00,F,17.00,6
PREPARATORIA,ADMINISTRACION_II,9.00,F,17.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,8.00,F,17.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,9.00,F,17.00,6
PREPARATORIA,TEM.SELEC.DE_CIENCS_D.LA_S.II,9.00,F,17.00,6
