Desc Carrera,Desc Materia,Calif Final,sexo,edad,Grado 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,7,M,19,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,7,M,19,6 
PREPARATORIA (NVO. PLAN),COMPORTAM. ORGANIZACIONAL II,8,M,19,6 
PREPARATORIA (NVO. PLAN),COMPORTAM. ORGANIZACIONAL II,7,F,23,6 
PREPARATORIA (NVO. PLAN),TEM.SELEC.DE CIENCS D/LA S.II,8,F,19,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,9,M,19,6 
PREPARATORIA (NVO. PLAN),PROBABILIDAD Y ESTADISTICA,7,M,19,6 
PREPARATORIA (NVO. PLAN),TECNOLOGIA I,7,M,19,6 
PREPARATORIA (NVO. PLAN),COMPORTAMIENTO ORGANIZAC. I,7,M,19,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION I,9,M,19,6 
PREPARATORIA (NVO. PLAN),ECOLOGIA Y MEDIO AMBIENTE,7,F,19,6 
PREPARATORIA (NVO. PLAN),COMPORTAM. ORGANIZACIONAL II,8,F,19,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,8,F,19,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,9,F,19,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,8,F,19,6 
PREPARATORIA (NVO. PLAN),HISTORIA DEL ARTE,8,F,19,6 
PREPARATORIA (NVO. PLAN),HISTORIA DE NUESTRO TIEMPO,5,M,19,4 
PREPARATORIA (NVO. PLAN),BIOLOGIA II,7,M,19,4 
PREPARATORIA (NVO. PLAN),LITERATURA I,5,M,19,4 
PREPARATORIA (NVO. PLAN),MATEMATICAS IV,5,M,19,4 
PREPARATORIA (NVO. PLAN),LENGUA ADICIONAL AL ESPANOL IV,5,M,19,4 
PREPARATORIA (NVO. PLAN),CIENCIAS DE LA COMUNICACION,7,M,19,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,7,M,19,6 
PREPARATORIA (NVO. PLAN),COMPORTAMIENTO ORGANIZAC. I,7,M,19,6 
PREPARATORIA (NVO. PLAN),TECNOLOGIA I,7,M,19,6 
PREPARATORIA (NVO. PLAN),MATEMATICAS FINANCIERAS,7,M,19,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,9,M,19,6 
PREPARATORIA (NVO. PLAN),CALCULO INTEGRAL,9,F,18,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,10,F,18,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE FISICA II,9,F,18,6 
PREPARATORIA (NVO. PLAN),TEM.SELEC.DE CIENCS D/LA S.II,10,F,18,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE QUIMICA II,5,M,20,6 
PREPARATORIA (NVO. PLAN),CALCULO INTEGRAL,5,M,20,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,9,M,19,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,8,M,19,6 
PREPARATORIA (NVO. PLAN),TECNOLOGIA II,9,M,19,6 
PREPARATORIA (NVO. PLAN),PROBABILIDAD Y ESTADISTICA,5,M,21,5 
PREPARATORIA (NVO. PLAN),ECOLOGIA Y MEDIO AMBIENTE,9,M,21,5 
PREPARATORIA (NVO. PLAN),PSICOLOGIA,9,M,21,5 
PREPARATORIA (NVO. PLAN),DERECHO,8,M,21,5 
PREPARATORIA (NVO. PLAN),SOCIOLOGIA,7,M,21,5 
PREPARATORIA (NVO. PLAN),ADMINISTRACION I,9,M,19,5 
PREPARATORIA (NVO. PLAN),PROBABILIDAD Y ESTADISTICA,6,M,19,5 
PREPARATORIA (NVO. PLAN),SOCIOLOGIA,9,M,19,5 
PREPARATORIA (NVO. PLAN),TECNOLOGIA I,9,M,19,5 
PREPARATORIA (NVO. PLAN),DERECHO,7,M,19,5 
PREPARATORIA (NVO. PLAN),COMPORTAMIENTO ORGANIZAC. I,8,M,19,5 
PREPARATORIA (NVO. PLAN),ECOLOGIA Y MEDIO AMBIENTE,9,M,19,5 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,8,M,19,6 
PREPARATORIA (NVO. PLAN),TECNOLOGIA II,8,M,19,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION I,8,M,21,6 
PREPARATORIA (NVO. PLAN),CALCULO DIFERENCIAL,8,M,21,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,8,M,21,6 
PREPARATORIA (NVO. PLAN),DERECHO,8,M,21,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,9,M,21,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE FISICA I,7,M,21,6 
PREPARATORIA (NVO. PLAN),DERECHO,7,M,20,5 
PREPARATORIA (NVO. PLAN),MATEMATICAS IV,6,M,20,5 
PREPARATORIA (NVO. PLAN),SOCIOLOGIA,7,M,20,5 
PREPARATORIA (NVO. PLAN),COMPORTAM. ORGANIZACIONAL II,9,F,19,6 
PREPARATORIA (NVO. PLAN),MATEMATICAS FINANCIERAS,6,F,19,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,10,F,19,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,9,F,19,6 
PREPARATORIA (NVO. PLAN),CIENCIAS DE LA COMUNICACION,10,F,19,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,10,F,19,6 
PREPARATORIA (NVO. PLAN),HISTORIA DEL ARTE,10,F,19,6 
PREPARATORIA (NVO. PLAN),COMPORTAMIENTO ORGANIZAC. I,8,F,18,5 
PREPARATORIA (NVO. PLAN),TECNOLOGIA I,7,F,18,5 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,7,F,18,5 
PREPARATORIA (NVO. PLAN),PROBABILIDAD Y ESTADISTICA,5,F,18,5 
PREPARATORIA (NVO. PLAN),SOCIOLOGIA,8,F,18,5 
PREPARATORIA (NVO. PLAN),ADMINISTRACION I,8,F,18,5 
PREPARATORIA (NVO. PLAN),HISTORIA DEL ARTE,8,M,20,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,9,M,20,6 
PREPARATORIA (NVO. PLAN),CIENCIAS DE LA COMUNICACION,7,M,20,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,8,M,20,6 
PREPARATORIA (NVO. PLAN),QUIMICA,7,M,19,3 
PREPARATORIA (NVO. PLAN),FILOSOFIA,5,M,19,5 
PREPARATORIA (NVO. PLAN),MATEMATICAS IV,5,M,19,5 
PREPARATORIA (NVO. PLAN),SOCIOLOGIA,5,M,19,5 
PREPARATORIA (NVO. PLAN),PSICOLOGIA,8,M,19,5 
PREPARATORIA (NVO. PLAN),LENGUA ADICIONAL AL ESPANOL IV,5,M,19,5 
PREPARATORIA (NVO. PLAN),MATEMATICAS FINANCIERAS,9,M,19,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,9,M,19,6 
PREPARATORIA (NVO. PLAN),COMPORTAM. ORGANIZACIONAL II,10,M,19,6 
PREPARATORIA (NVO. PLAN),CIENCIAS DE LA COMUNICACION,10,M,19,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,10,M,19,6 
PREPARATORIA (NVO. PLAN),LENGUA ADICIONAL AL ESPANOL IV,9,M,18,5 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE QUIMICA I,8,M,18,5 
PREPARATORIA (NVO. PLAN),CALCULO DIFERENCIAL,8,M,18,5 
PREPARATORIA (NVO. PLAN),MATEMATICAS FINANCIERAS,9,M,17,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,9,M,17,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,9,M,17,6 
PREPARATORIA (NVO. PLAN),SOCIOLOGIA,8,M,17,6 
PREPARATORIA (NVO. PLAN),TECNOLOGIA I,7,M,17,6 
PREPARATORIA (NVO. PLAN),CIENCIAS DE LA COMUNICACION,9,F,18,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,9,F,18,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,9,M,17,6 
